"","Year","Country","All Industries","Mining","Total Manufacturing","Food Manufacturing","Chemicals Manufacturing","Primary and Fabricated Metals Manufacturing","Machinery Manufacturing","Computers and Electronic Products Manufacturing","Electrical Equipment, Appliances, and Components Manufacturing","Transportation Equipment Manufacturing","Wholesale Trade","Retail Trade","Information","Finance and Insurance","Professional, Scientific, and Technical Services","Other Industries"
"105",2013,"Central America R",672,-239.024026125438,176,64.9705376050762,42,2,0.463317927788012,8.61120310966953,2,0,70,67,3,862.527024585874,231.16060415187,1403.38381822349
"106",2014,"Central America R",627,0,224,33,59,3,0.404431482194923,153.496757716944,-29.1319502585452,0.134860456106253,49,115,5,1016.90685205052,53.2417159926091,892.585829022528
"107",2015,"Central America R",514,0,224,108.295274775288,47,271.85339529026,55.1779791357064,-106.393184029267,2.85599210686167,0.188893073936924,49,206.555427877969,8,589.131782785976,-1,66
"108",2016,"Central America R",880,0,245,64.4442672387182,177.877296732582,-5.9146412982464,-90.0101338970244,79.9724424469836,68.1586097129735,0.146918546059169,48,161,8,786.569167011524,-1,2901.57254016124
"109",2017,"Central America R",820,0,221,53,482.940339953832,11.6731550123475,-19.2060284264804,9,-30.0119917698674,0.149687921744771,40,338.500682758273,8,778.450425525433,80.8708152205488,1202.51886860335
"110",2018,"Central America R",921,0,260,39,574.886160588367,-43.9857939069716,-34.7336899662493,3,32.235773239467,0.1773422928527,38,-0.511446822773314,8,431.612204719322,147.567872798928,216.868553606026
"111",2009,"Chile",3847,150.382641681799,614,26,280,2,39,4,0,78.7428613803355,134,106.636077573654,118,162,63,-291.86930869376
"112",2010,"Chile",5899,1612.49688292826,785,60.806365375103,255,2,22,-2.65411727578864,0,-918.062455959445,206,209.395342824951,105,407,107,278.114834578745
"113",2011,"Chile",6840,1079.78598821504,964,75.5732758933513,326,2,64,0.151489967713133,0,159.274887245722,166,115.755886147241,97,347,118.05690990261,-164.982792272123
"114",2012,"Chile",3533,43.0624110181595,744,-10.4448968826042,230,2,64,2,0,677.536466165432,250,461.703291293317,-37,264,124,212
"115",2013,"Chile",6075,1170.09868218065,765,132.694863750307,240,2,63,-16,0,56.3626227035817,243,180.637808048001,12,468,104,450
"116",2014,"Chile",4644,1070.61761120991,737,-5,288,0.0709678896237165,59,54.4686287767602,5,-181.814206767351,129,122.551936931653,-21,688,95,105
"117",2015,"Chile",3863,268.162332564131,597,13,160,2,-34,48,4,5,91,323.864089155325,109,351,67,287
"118",2016,"Chile",2705,621.37508731882,532,46,143,12,-33,-33,3,-136.67565569168,67,183.411191180102,127,301,61,493
"119",2017,"Chile",3248,600.428653787457,675,55,194,44,-44,47,-4,232.619755132378,21,-22.7453647192609,205,541,77,417
"120",2018,"Chile",4786,187.370980154631,773,65,288,53,-45,63,-3,299.378299939889,43,90.4376338919986,205,645,77,363
"121",2009,"China",10735,1378,6867,163,2197,4,1043,1865,346,708,1232,209,144,267,364,273
"122",2010,"China",14038,1640,8136,311,2526,247,1395,1426,472,1069,2075,126,209,343,563,947
"123",2011,"China",18989,1845,11315,387,2594,345,1509,3947,409,1358,2893,79,374,539,925,1019
"124",2012,"China",17812,1115,10437,570,2711,289,1623,2232,525,1487,3486,139,211,413,981,1030
"125",2013,"China",20022,1119,12888,511,3223,284,1624,3583,647,1763,3831,-13,878,259,836,223
"126",2014,"China",26895,1010,16706,430,4028,194,2019,4803,679,2407,6763,349,429,479,548,610
"127",2015,"China",25018,38,15110,-161,4426,285,2318,3630,584,2036,5839,1706,253,737,622,712
"128",2016,"China",23023,-186,13420,-12,4564,283,1990,1781,503,2145,5451,1877,219,711,909,623
"129",2017,"China",27416,383,17178,-107,4447,475,2560,4579,385,2571,4360,1878,277,888,929,1523
"130",2018,"China",30573,523,20271,376,5592,412,2560,6259,595,1893,2901,2476,566,1196,527,2113
"131",2009,"Colombia",1957,779,416,46,314,-80.2767212104148,1,-71.3174486192919,6.8863500242338,562.64095990555,137,106.115686162124,-26,298,58,7890.41774015444
"132",2010,"Colombia",2451,1039,802,40,378,-8,1,59.8258566735128,8,-912.911852731312,164,7.1051437701967,9,184,56,1701.73498200109
"133",2011,"Colombia",2870,1427.00361559396,705,45,423,-115.357603462572,1,6,9,-684.482013788563,110,-75.4932372048189,-77.00259086854,312,51.0330952053221,-2173.16136486364
"134",2012,"Colombia",3035,1692,579,68,349,119.608180519026,1,7,18,-556.206811615554,159,49.8809676252005,-5,258,91,1946.77000644362
"135",2013,"Colombia",2548,2094.22244584911,578,62,383,14.090338809254,3,6,-14.1245664465814,1,125,28,62,115,127,-1516.17828798848
"136",2014,"Colombia",1804,441.06467269669,580,16,371,316.388223201038,-5,-4,44.6525952578332,-123.695221355312,19,26,62,101,84,-710.552501604798
"137",2015,"Colombia",629,-15,296,12,281,302.228731531733,3,34,-12.3198729666009,-111.788324986577,13,11,49,71,70,134
"138",2016,"Colombia",909,285,251,56,163,-129.867642639185,-5,-3,22,50,37,22,51,140,58,65
"139",2017,"Colombia",1099,437,357,47,210,207.670044067274,-2,32,25,16,9,19,52,155,37.7028410207346,1262.00626071213
"140",2018,"Colombia",1481,572,433,107,179,12.7376770481462,2,39,152.746334434287,35,16,-66.0134173626273,54,221,48,2839.7742882791
"141",2009,"Costa Rica",590,0,416,1,169,3,0,55,18,0,263,19,15,234.961566059406,5.64856346135955,-104
"142",2010,"Costa Rica",870,0,453,1,189,3,0,100.592719778657,18,0,214,126.387265199726,15,246.743170783332,77.3427079740054,-113
"143",2011,"Costa Rica",689,0,500,0.268403020454571,134,3,0,-26.0260577711613,24,0,183,-35.0058988127185,15,357.098578463294,22,76.5959354740849
"144",2012,"Costa Rica",747,0,608,25,199,3,0,97.9221321996374,25,0,136,-31.4928755858037,15,652.876347598685,26,-55
"145",2013,"Costa Rica",680,0,416,21,-3,3,0,86.5094751478861,26,0,99,1.41988297020196,15,397.975228299188,7,4881.84385322762
"146",2014,"Costa Rica",592,0,438,0.72129119729309,110,-3,3,5,-14,6,122,-29.4706708592924,3,28,14,-302.595145124632
"147",2015,"Costa Rica",863,0,401,-8,35,-4,3,12,21,9,280,213.836625411485,3,19,-6,1188.9146241555
"148",2016,"Costa Rica",1087,0,628,4,153,-4,3,13,19,8,294,162.394568073906,3,162.193536471212,19,-113
"149",2017,"Costa Rica",1122,0,528,56.839358001419,55,-4,3,33,18,9,291,-23.7883809620703,3,352.597547171701,15,-101
"150",2018,"Costa Rica",827,0,539,-4.20257149279228,71,-4,3,35,17,10,202,143.688239470041,3,866.33274138968,13,-84
"151",2009,"Czech Republic",1392,0,813,74.2258922417807,162,-27,73,60,9,142,215,233.572580849708,-24,225.500240051469,80,9
"152",2010,"Czech Republic",1472,0,837,125.714558693844,130,-38,92,22,11,161,111,-22.4112533444574,68,431,55,-2350.40948093694
"153",2011,"Czech Republic",1608,0,978,206.65721748377,150,-23,95,52,13,316,110,110.835958237239,49,335,47,-1124.80640786015
"154",2012,"Czech Republic",1464,0,844,-43.4290949581426,127,-10,91,100,-2.60733303038348,126,104,53.3804572431664,-6,6.7721665636731,61,46
"155",2013,"Czech Republic",1274,0,776,59.640227722208,136,-23,111,111,14,193,91,18.8256710276461,-18,269,73,944.072294206719
"156",2014,"Czech Republic",1438,0,940,133.131163627306,115,35,87,114,12,207,85,7,1,292.555774187014,51,-1950.31445832385
"157",2015,"Czech Republic",1299,0,898,36.706469041497,62,57,144,68,30,209,63,7,31.2940340999079,277.674842660925,68,610.178182065841
"158",2016,"Czech Republic",865,0,849,19,72,48,138,36,60.4446085888238,281,83,7,-19,-1,67,-121
"159",2017,"Czech Republic",1017,0,945,22,102,52,214,27,80.9594890226008,247,78,7,-11,17,83,-101
"160",2018,"Czech Republic",1094,0,940,24,126,60,184,74,9,173,266.527960306086,7,24,41,78,-255.95665992785
"161",2009,"Denmark",4360,-314.413628055262,379,26,81,17,72,89,-3,1,-2,-20,22,-40,136,-1202.46331227317
"162",2010,"Denmark",4588,-149.73342296178,475,31,82,16,29,128,-3,1,230,-19,10,-108,16,650.888480301943
"163",2011,"Denmark",5746,19.3691989701495,601,83.781872204278,72,26,136,16,-3,1,-110,-71,8,14,26,346.852063794424
"164",2012,"Denmark",3927,29.5770182454256,340,25,89,31,180,-56,-3,1,201,-57,107,148,-3,-135.640717313505
"165",2013,"Denmark",4971,141.331387888083,764,58.5753020375393,468,17,194,-71,-2,1,274,-47,11,28,80,3142.48004501937
"166",2014,"Denmark",4787,-175.06694138253,857,46,520,36,232,-70,5,-2,303,-17,78,159,74,689.176490842816
"167",2015,"Denmark",1029,-63,950,54,557,28,160,-25,5,-2,225,-34,88,63,-20,-178
"168",2016,"Denmark",597,-82,778,60,420,27,113,-30,5,-4,116,-36,-26,38,63,-255
"169",2017,"Denmark",598,80,1050,58.1380180673612,138,-136.544831725064,209,59,5,-172.888905829415,95,-22,-38,54,-52,-570
"170",2018,"Denmark",590,610.332991928936,569,334,106,-12.7408116425809,136,108,5,-180.168717420867,166,-22,-108,42,-39,4058.6358900396
"171",2009,"Dominican Republic",639,0,553,105.775352264841,81,2,0.460073271300644,0.296363459783606,0,0,31,14,-24,1119.06884100301,8,1064.04895646548
"172",2010,"Dominican Republic",476,0,290,87.5032969755131,117,89.0505551310036,0.0476494269678369,0.300378445768729,0,0,37,13,-21,1242.55223584765,13,878.486731907563
"173",2011,"Dominican Republic",596,0,279,25.345983136569,105,0.126757540623657,0.108547726180404,0.461553289438598,0,0,14,12,-20,503.665310807685,-19.2024654220025,-978.101625247333
"174",2012,"Dominican Republic",422,0,251,90.6170889092568,79,49.177786206622,0.0787646489916369,0.214743201737292,0,0,-6,1,-178.792704387631,630.362700872229,10,189
"175",2013,"Dominican Republic",435,0,193,58.8057337000081,21,187.242010050134,0.0349901885492727,0.230581226875074,0,0,22,10,-14,787.461075449755,11,2422.71882333609
"176",2014,"Dominican Republic",444,0,202,140.951667503836,651.185884264475,0.426877993508242,0.123320818529464,0,1,0,34,21,-13,1318.85013962347,8,2038.01446702675
"177",2015,"Dominican Republic",523,0,279,16,1066.49687972728,0.378782704006881,0.41451521916315,0,1,0,40,19,-6,852.57507326002,7,541.756576403394
"178",2016,"Dominican Republic",608,0,311,10.9082105997437,2.9763373741607,0.162561340373941,0.296712414477952,0,1,0,73,19,3,1340.47242902559,10,1258.07191389995
"179",2017,"Dominican Republic",616,0,275,127.421504935649,-214.725023221424,0.0349853766383603,0.431959694018587,0,1,0,-336.535164359527,20,3,991.787907144666,7,204
"180",2018,"Dominican Republic",671,0,302,133.842137098608,91.1106983010586,0.34316064522136,0.00347471295390278,0,1,0,-431.134561095363,18,3,573.877859745097,7,229
"181",2009,"Ecuador",205,7,626.51406553694,1,61,-131.923556537047,0.419532902422361,2,0,694.018089171565,40,0.150399788748473,3,18,4,-1938.17306067664
"182",2010,"Ecuador",326,91,-387.271386483213,39.4003887545926,59,0.394920850172639,0.0303379907272756,2,0,-488.097034078706,80,4,6.84372706121715,14,2,2978.46053081306
"183",2011,"Ecuador",318,81,111,11.9983668383589,79,0.108093431568705,0.470755725866184,2,0,-15.6910557789885,51,4,3,18,1,50
"184",2012,"Ecuador",325,90,108,21,70,0.489703805884346,0.312730794539675,2,0,-50.3425418948527,69,5,3,26,2,23
"185",2013,"Ecuador",367,104,150,122.369853289312,84,0.19422342791222,0.146539297653362,2,0,151.640589464355,78,-63.1294322812817,3,27,5,1162.63726624021
"186",2014,"Ecuador",293,66,165,39,59,0,1,3,3.31428600475192e-05,429.596533223592,123,113.207679318301,3,33,66.8584446806768,-946.219470018032
"187",2015,"Ecuador",132,-30,104,27,47,0,2,3,0.0392366000451148,57.5375814121121,107,27.6644503036085,3,36,0.211844315262601,7
"188",2016,"Ecuador",130,1,88,43.4787655050411,50,0,2,3,0.0294057357823476,67.4080378843547,95,6,3,28,-23.9693546302477,-1099.34069706742
"189",2017,"Ecuador",151,12,104,72.6912178170281,51,0,2,3,0.135704344022088,-322.029861491965,103,7,3,42,-119,0.305732363252901
"190",2018,"Ecuador",168,10,102,28.2181399094982,57,0,2,3,0.450786244822666,80.490136033198,94,7,3,60,-26.9434695450717,2133.911884018
"191",2009,"Egypt",3407,3005,145,19,49,1,26,398.870907452391,5,0,146,8,-2,205.413820725455,9,-2223.55345807053
"192",2010,"Egypt",3945,3364,318,65,103,1,-1.88837850726898,301.700346013162,6,0,172,41.4572877626201,-2,177.691609505244,38.295042708341,-35
"193",2011,"Egypt",5599,4758.34141623794,217,71,55,2,7,307.955483856147,7,0,81,144.333684986523,-2,160.752300337036,3.31664530323183,4470.02789898703
"194",2012,"Egypt",5465,1311.63579752651,223,52,82,2,7,345.084920472611,7,0,61.7414337899669,2.08175701515097,480.022816367831,428.225816504765,-34.9418934861113,1574.1864113912
"195",2013,"Egypt",4301,1908.7436820595,142,50,-41,2,7,358.891490864987,7,0,140,142.653334453748,-151.121243961978,391.679626458683,-84.6057964420997,70.0930230122656
"196",2014,"Egypt",3712,1037.89322278929,246,35,58,-66.7345767522807,38.1187963846922,249.676285344142,0,0.294268868165091,93.0793811833284,0.46433552831877,4,109,178.573062830512,57
"197",2015,"Egypt",2971,1237.79630282328,468,149,117,-7,101.28043747779,32.3985561569594,0,0.375375631614588,261,0.224378244718537,4,181.317755963157,-82.631696174697,-1461.75918457621
