iso	year	pi	source	type	emp	wages	at	t_at	txt	revenue_unrelated	revenue_total	net_interest	etr
ALB	2004		BEA_income	all_groups									
ALB	2005		BEA_income	all_groups									
ALB	2006		BEA_income	all_groups									
ALB	2007		BEA_income	all_groups									
ALB	2008		BEA_income	all_groups									
ALB	2009		BEA_income	all_groups									
ALB	2010		BEA_income	all_groups									
ALB	2011		BEA_income	all_groups									
ALB	2012		BEA_income	all_groups									
ALB	2013		BEA_income	all_groups									
ALB	2014		BEA_income	all_groups									
ALB	2015		BEA_income	all_groups									
ALB	2016		BEA_income	all_groups									
ALB	2017		BEA_income	all_groups									
ALB	2018		BEA_income	all_groups									
ALB	2019		BEA_income	all_groups									
ALB	2020		BEA_income	all_groups									
ALB	2021		BEA_income	all_groups									
AND	2004		BEA_income	all_groups									
AND	2005		BEA_income	all_groups									
AND	2006		BEA_income	all_groups									
AND	2007		BEA_income	all_groups									
AND	2008		BEA_income	all_groups									
AND	2009		BEA_income	all_groups									
AND	2010		BEA_income	all_groups									
AND	2011		BEA_income	all_groups									
AND	2012		BEA_income	all_groups									
AND	2013		BEA_income	all_groups									
AND	2019		BEA_income	all_groups									
AND	2020		BEA_income	all_groups									
AND	2021		BEA_income	all_groups									
ANT	2004		BEA_income	all_groups									
ANT	2005		BEA_income	all_groups									
ANT	2006		BEA_income	all_groups									
ANT	2007		BEA_income	all_groups									
ANT	2008		BEA_income	all_groups									
ANT	2009		BEA_income	all_groups									
ANT	2010		BEA_income	all_groups									
ARE	2004	720232676.6218677	BEA_income	all_groups									
ARE	2005	136119393.5686679	BEA_income	all_groups									
ARE	2006	1405478276.1991763	BEA_income	all_groups									
ARE	2007	420158550.32887965	BEA_income	all_groups									
ARE	2008	420130253.75212145	BEA_income	all_groups									
ARE	2009	603498634.9602363	BEA_income	all_groups									
ARE	2010	761152553.4876801	BEA_income	all_groups									
ARE	2011	1125695566.4856372	BEA_income	all_groups									
ARE	2012	1534806047.347146	BEA_income	all_groups									
ARE	2013	1835835357.509179	BEA_income	all_groups									
ARE	2014	1922325895.1161227	BEA_income	all_groups									
ARE	2015	1826792083.1888678	BEA_income	all_groups									
ARE	2016	3474639282.827111	BEA_income	all_groups									
ARE	2017	1630598110.8396287	BEA_income	all_groups									
ARE	2018	1429813720.2945118	BEA_income	all_groups									
ARE	2019	1456410971.154071	BEA_income	all_groups									
ARE	2020	1427257227.095021	BEA_income	all_groups									
ARE	2021		BEA_income	all_groups									
ARG	2004	1982697668.3576272	BEA_income	all_groups									
ARG	2005	2167752133.399532	BEA_income	all_groups									
ARG	2006	3215119967.5526805	BEA_income	all_groups									
ARG	2007	3178018528.8731403	BEA_income	all_groups									
ARG	2008	2790069829.73698	BEA_income	all_groups									
ARG	2009	2172185239.585231	BEA_income	all_groups									
ARG	2010	2804460477.823591	BEA_income	all_groups									
ARG	2011	4085218296.785873	BEA_income	all_groups									
ARG	2012	3513362384.245589	BEA_income	all_groups									
ARG	2013	3225418377.284953	BEA_income	all_groups									
ARG	2014	983963333.7679257	BEA_income	all_groups									
ARG	2015	4028233067.9051375	BEA_income	all_groups									
ARG	2016	3728731847.121957	BEA_income	all_groups									
ARG	2017	2700646213.632322	BEA_income	all_groups									
ARG	2018	1993971814.36354	BEA_income	all_groups									
ARG	2019	350598582.2792166	BEA_income	all_groups									
ARG	2020	295152253.75934637	BEA_income	all_groups									
ARG	2021		BEA_income	all_groups									
ARM	2004		BEA_income	all_groups									
ARM	2005		BEA_income	all_groups									
ARM	2006		BEA_income	all_groups									
ARM	2007		BEA_income	all_groups									
ARM	2008		BEA_income	all_groups									
ARM	2009		BEA_income	all_groups									
ARM	2010		BEA_income	all_groups									
ARM	2011		BEA_income	all_groups									
ARM	2012		BEA_income	all_groups									
ARM	2013		BEA_income	all_groups									
ARM	2014		BEA_income	all_groups									
ARM	2015		BEA_income	all_groups									
ARM	2016		BEA_income	all_groups									
ARM	2017		BEA_income	all_groups									
ARM	2018		BEA_income	all_groups									
ARM	2019		BEA_income	all_groups									
ARM	2020		BEA_income	all_groups									
ARM	2021		BEA_income	all_groups									
ATG	2004		BEA_income	all_groups									
ATG	2005		BEA_income	all_groups									
ATG	2006		BEA_income	all_groups									
ATG	2007		BEA_income	all_groups									
ATG	2008		BEA_income	all_groups									
ATG	2009		BEA_income	all_groups									
ATG	2010		BEA_income	all_groups									
ATG	2011		BEA_income	all_groups									
ATG	2012		BEA_income	all_groups									
ATG	2013		BEA_income	all_groups									
ATG	2014		BEA_income	all_groups									
ATG	2015		BEA_income	all_groups									
ATG	2016		BEA_income	all_groups									
ATG	2017		BEA_income	all_groups									
ATG	2018		BEA_income	all_groups									
ATG	2019		BEA_income	all_groups									
ATG	2020		BEA_income	all_groups									
ATG	2021		BEA_income	all_groups									
AUS	2004	6906002464.979966	BEA_income	all_groups									
AUS	2005	8058471262.539123	BEA_income	all_groups									
AUS	2006	9987888397.001335	BEA_income	all_groups									
AUS	2007	11172167717.781174	BEA_income	all_groups									
AUS	2008	12841812696.01364	BEA_income	all_groups									
AUS	2009	9787128966.282135	BEA_income	all_groups									
AUS	2010	14424247922.0426	BEA_income	all_groups									
AUS	2011	16193557431.601599	BEA_income	all_groups									
AUS	2012	20052220653.072594	BEA_income	all_groups									
AUS	2013	14646022054.812986	BEA_income	all_groups									
AUS	2014	12775309731.011576	BEA_income	all_groups									
AUS	2015	11074863889.62538	BEA_income	all_groups									
AUS	2016	8157493811.136541	BEA_income	all_groups									
AUS	2017	10901625566.333572	BEA_income	all_groups									
AUS	2018	13449856010.776108	BEA_income	all_groups									
AUS	2019	12269931197.84735	BEA_income	all_groups									
AUS	2020	10283888841.649954	BEA_income	all_groups									
AUS	2021		BEA_income	all_groups									
AUT	2004	938360287.2559191	BEA_income	all_groups									
AUT	2005	2050933250.8592575	BEA_income	all_groups									
AUT	2006	3324244089.644349	BEA_income	all_groups									
AUT	2007	2960346026.895528	BEA_income	all_groups									
AUT	2008	2574436711.546132	BEA_income	all_groups									
AUT	2009	1819717445.9921556	BEA_income	all_groups									
AUT	2010	2569398659.8347487	BEA_income	all_groups									
AUT	2011	2562278175.701062	BEA_income	all_groups									
AUT	2012	2448768799.679863	BEA_income	all_groups									
AUT	2013	1628465250.6808996	BEA_income	all_groups									
AUT	2014	2294225527.9614663	BEA_income	all_groups									
AUT	2015	433219349.7446237	BEA_income	all_groups									
AUT	2016	649007513.6205704	BEA_income	all_groups									
AUT	2017	685116676.5018102	BEA_income	all_groups									
AUT	2018	893250315.6092947	BEA_income	all_groups									
AUT	2019	943762462.76324	BEA_income	all_groups									
AUT	2020	436536375.3153969	BEA_income	all_groups									
AUT	2021		BEA_income	all_groups									
AZE	2004		BEA_income	all_groups									
AZE	2005		BEA_income	all_groups									
AZE	2006		BEA_income	all_groups									
AZE	2007		BEA_income	all_groups									
AZE	2008		BEA_income	all_groups									
AZE	2009		BEA_income	all_groups									
AZE	2010		BEA_income	all_groups									
AZE	2011		BEA_income	all_groups									
AZE	2012		BEA_income	all_groups									
AZE	2013		BEA_income	all_groups									
AZE	2014		BEA_income	all_groups									
AZE	2015		BEA_income	all_groups									
AZE	2016		BEA_income	all_groups									
AZE	2017		BEA_income	all_groups									
AZE	2018		BEA_income	all_groups									
AZE	2019		BEA_income	all_groups									
AZE	2020		BEA_income	all_groups									
AZE	2021		BEA_income	all_groups									
BDI	2004		BEA_income	all_groups									
BDI	2005		BEA_income	all_groups									
BDI	2006		BEA_income	all_groups									
BDI	2007		BEA_income	all_groups									
BDI	2008		BEA_income	all_groups									
BDI	2009		BEA_income	all_groups									
BDI	2010		BEA_income	all_groups									
BDI	2011		BEA_income	all_groups									
BDI	2012		BEA_income	all_groups									
BDI	2013		BEA_income	all_groups									
BDI	2014		BEA_income	all_groups									
BDI	2015		BEA_income	all_groups									
BDI	2016		BEA_income	all_groups									
BDI	2017		BEA_income	all_groups									
BDI	2018		BEA_income	all_groups									
BDI	2019		BEA_income	all_groups									
BDI	2020		BEA_income	all_groups									
BDI	2021		BEA_income	all_groups									
BEA_Other_Europe	2004	2231692393.7040443	BEA_income	all_groups									
BEA_Other_Europe	2005	3632559338.817585	BEA_income	all_groups									
BEA_Other_Europe	2006	4576140268.084881	BEA_income	all_groups									
BEA_Other_Europe	2007	9703131436.99273	BEA_income	all_groups									
BEA_Other_Europe	2008	10314957001.157507	BEA_income	all_groups									
BEA_Other_Europe	2009	5633337003.414906	BEA_income	all_groups									
BEA_Other_Europe	2010	3777270425.863995	BEA_income	all_groups									
BEA_Other_Europe	2011	11834027038.289442	BEA_income	all_groups									
BEA_Other_Europe	2012	9732990869.218008	BEA_income	all_groups									
BEA_Other_Europe	2013	3085138599.136411	BEA_income	all_groups									
BEA_Other_Europe	2014	4606691364.890824	BEA_income	all_groups									
BEA_Other_Europe	2015	-1215841718.1643984	BEA_income	all_groups									
BEA_Other_Europe	2016	-6235982571.910858	BEA_income	all_groups									
BEA_Other_Europe	2017	4626324383.352759	BEA_income	all_groups									
BEA_Other_Europe	2018	9622370390.688227	BEA_income	all_groups									
BEA_Other_Europe	2019	3598731377.9881215	BEA_income	all_groups									
BEA_Other_Europe	2020	5911301082.285091	BEA_income	all_groups									
BEA_Other_Europe	2021		BEA_income	all_groups									
BEA_Other_Western	2004	4331685097.968661	BEA_income	all_groups									
BEA_Other_Western	2005	6982721726.79868	BEA_income	all_groups									
BEA_Other_Western	2006	8769335700.311035	BEA_income	all_groups									
BEA_Other_Western	2007	8038696119.545312	BEA_income	all_groups									
BEA_Other_Western	2008	13435056861.55278	BEA_income	all_groups									
BEA_Other_Western	2009	4916106028.080159	BEA_income	all_groups									
BEA_Other_Western	2010	6974518183.963315	BEA_income	all_groups									
BEA_Other_Western	2011	6715566511.254568	BEA_income	all_groups									
BEA_Other_Western	2012	4360151927.609531	BEA_income	all_groups									
BEA_Other_Western	2013	5373325415.168062	BEA_income	all_groups									
BEA_Other_Western	2014	5153900633.92757	BEA_income	all_groups									
BEA_Other_Western	2015	3506148210.520591	BEA_income	all_groups									
BEA_Other_Western	2016	696968760.6963044	BEA_income	all_groups									
BEA_Other_Western	2017	1498884174.5225892	BEA_income	all_groups									
BEA_Other_Western	2018	5285916055.298939	BEA_income	all_groups									
BEA_Other_Western	2019	3631345199.5954905	BEA_income	all_groups									
BEA_Other_Western	2020	3382898908.4725084	BEA_income	all_groups									
BEA_Other_Western	2021		BEA_income	all_groups									
BEL	2004	4305962502.375023	BEA_income	all_groups									
BEL	2005	4877950208.333905	BEA_income	all_groups									
BEL	2006	5147021091.99037	BEA_income	all_groups									
BEL	2007	5381066734.934929	BEA_income	all_groups									
BEL	2008	4404787311.025254	BEA_income	all_groups									
BEL	2009	3101511660.4832516	BEA_income	all_groups									
BEL	2010	1924250639.9000041	BEA_income	all_groups									
BEL	2011	4200022989.035762	BEA_income	all_groups									
BEL	2012	3617175525.379149	BEA_income	all_groups									
BEL	2013	4323260119.31702	BEA_income	all_groups									
BEL	2014	5140727077.45076	BEA_income	all_groups									
BEL	2015	5186514173.166404	BEA_income	all_groups									
BEL	2016	6312516476.818945	BEA_income	all_groups									
BEL	2017	8403144929.373916	BEA_income	all_groups									
BEL	2018	8570706117.5052	BEA_income	all_groups									
BEL	2019	8919880209.615417	BEA_income	all_groups									
BEL	2020	9036199768.93999	BEA_income	all_groups									
BEL	2021		BEA_income	all_groups									
BEN	2004		BEA_income	all_groups									
BEN	2005		BEA_income	all_groups									
BEN	2006		BEA_income	all_groups									
BEN	2007		BEA_income	all_groups									
BEN	2008		BEA_income	all_groups									
BEN	2009		BEA_income	all_groups									
BEN	2010		BEA_income	all_groups									
BEN	2011		BEA_income	all_groups									
BEN	2012		BEA_income	all_groups									
BEN	2013		BEA_income	all_groups									
BEN	2014		BEA_income	all_groups									
BEN	2015		BEA_income	all_groups									
BEN	2016		BEA_income	all_groups									
BEN	2017		BEA_income	all_groups									
BEN	2018		BEA_income	all_groups									
BEN	2019		BEA_income	all_groups									
BEN	2020		BEA_income	all_groups									
BEN	2021		BEA_income	all_groups									
BFA	2004		BEA_income	all_groups									
BGD	2004		BEA_income	all_groups									
BGD	2005		BEA_income	all_groups									
BGD	2006		BEA_income	all_groups									
BGD	2007		BEA_income	all_groups									
BGD	2008		BEA_income	all_groups									
BGD	2009		BEA_income	all_groups									
BGD	2010		BEA_income	all_groups									
BGD	2011		BEA_income	all_groups									
BGD	2012		BEA_income	all_groups									
BGD	2013		BEA_income	all_groups									
BGD	2014		BEA_income	all_groups									
BGD	2015		BEA_income	all_groups									
BGD	2016		BEA_income	all_groups									
BGD	2017		BEA_income	all_groups									
BGD	2018		BEA_income	all_groups									
BGD	2019		BEA_income	all_groups									
BGD	2020		BEA_income	all_groups									
BGD	2021		BEA_income	all_groups									
BGR	2004		BEA_income	all_groups									
BGR	2005		BEA_income	all_groups									
BGR	2006		BEA_income	all_groups									
BGR	2007		BEA_income	all_groups									
BGR	2008		BEA_income	all_groups									
BGR	2009		BEA_income	all_groups									
BGR	2010		BEA_income	all_groups									
BGR	2011		BEA_income	all_groups									
BGR	2012		BEA_income	all_groups									
BGR	2013		BEA_income	all_groups									
BGR	2014		BEA_income	all_groups									
BGR	2015		BEA_income	all_groups									
BGR	2016		BEA_income	all_groups									
BGR	2017		BEA_income	all_groups									
BGR	2018		BEA_income	all_groups									
BGR	2019		BEA_income	all_groups									
BGR	2020		BEA_income	all_groups									
BGR	2021		BEA_income	all_groups									
BHR	2004		BEA_income	all_groups									
BHR	2005		BEA_income	all_groups									
BHR	2006		BEA_income	all_groups									
BHR	2007		BEA_income	all_groups									
BHR	2008		BEA_income	all_groups									
BHR	2009		BEA_income	all_groups									
BHR	2010		BEA_income	all_groups									
BHR	2011		BEA_income	all_groups									
BHR	2012		BEA_income	all_groups									
BHR	2013		BEA_income	all_groups									
BHR	2014		BEA_income	all_groups									
BHR	2015		BEA_income	all_groups									
BHR	2016		BEA_income	all_groups									
BHR	2017		BEA_income	all_groups									
BHR	2018		BEA_income	all_groups									
BHR	2019		BEA_income	all_groups									
BHR	2020		BEA_income	all_groups									
BHR	2021		BEA_income	all_groups									
BHS	2004		BEA_income	all_groups									
BHS	2005		BEA_income	all_groups									
BHS	2006		BEA_income	all_groups									
BHS	2007		BEA_income	all_groups									
BHS	2008		BEA_income	all_groups									
BHS	2009		BEA_income	all_groups									
BHS	2010		BEA_income	all_groups									
BHS	2011		BEA_income	all_groups									
BHS	2012		BEA_income	all_groups									
BHS	2013		BEA_income	all_groups									
BHS	2014		BEA_income	all_groups									
BHS	2015		BEA_income	all_groups									
BHS	2016		BEA_income	all_groups									
BHS	2017		BEA_income	all_groups									
BHS	2018		BEA_income	all_groups									
BHS	2019		BEA_income	all_groups									
BHS	2020		BEA_income	all_groups									
BHS	2021		BEA_income	all_groups									
BIH	2004		BEA_income	all_groups									
BIH	2005		BEA_income	all_groups									
BIH	2006		BEA_income	all_groups									
BIH	2007		BEA_income	all_groups									
BIH	2008		BEA_income	all_groups									
BIH	2009		BEA_income	all_groups									
BIH	2010		BEA_income	all_groups									
BIH	2011		BEA_income	all_groups									
BIH	2012		BEA_income	all_groups									
BIH	2013		BEA_income	all_groups									
BIH	2014		BEA_income	all_groups									
BIH	2015		BEA_income	all_groups									
BIH	2016		BEA_income	all_groups									
BIH	2017		BEA_income	all_groups									
BIH	2018		BEA_income	all_groups									
BIH	2019		BEA_income	all_groups									
BIH	2020		BEA_income	all_groups									
BIH	2021		BEA_income	all_groups									
BLR	2004		BEA_income	all_groups									
BLR	2005		BEA_income	all_groups									
BLR	2006		BEA_income	all_groups									
BLR	2007		BEA_income	all_groups									
BLR	2008		BEA_income	all_groups									
BLR	2009		BEA_income	all_groups									
BLR	2010		BEA_income	all_groups									
BLR	2011		BEA_income	all_groups									
BLR	2012		BEA_income	all_groups									
BLR	2013		BEA_income	all_groups									
BLR	2014		BEA_income	all_groups									
BLR	2015		BEA_income	all_groups									
BLR	2016		BEA_income	all_groups									
BLR	2017		BEA_income	all_groups									
BLR	2018		BEA_income	all_groups									
BLR	2019		BEA_income	all_groups									
BLR	2020		BEA_income	all_groups									
BLR	2021		BEA_income	all_groups									
BLZ	2004		BEA_income	all_groups									
BLZ	2005		BEA_income	all_groups									
BLZ	2006		BEA_income	all_groups									
BLZ	2007		BEA_income	all_groups									
BLZ	2008		BEA_income	all_groups									
BLZ	2009		BEA_income	all_groups									
BLZ	2010		BEA_income	all_groups									
BLZ	2011		BEA_income	all_groups									
BLZ	2012		BEA_income	all_groups									
BLZ	2013		BEA_income	all_groups									
BLZ	2014		BEA_income	all_groups									
BLZ	2015		BEA_income	all_groups									
BLZ	2016		BEA_income	all_groups									
BLZ	2017		BEA_income	all_groups									
BLZ	2018		BEA_income	all_groups									
BLZ	2019		BEA_income	all_groups									
BLZ	2020		BEA_income	all_groups									
BLZ	2021		BEA_income	all_groups									
BMU	2004	10880657936.10893	BEA_income	all_groups									
BMU	2005	12141037253.229244	BEA_income	all_groups									
BMU	2006	16358514228.371433	BEA_income	all_groups									
BMU	2007	23855893786.504555	BEA_income	all_groups									
BMU	2008	25734243494.88898	BEA_income	all_groups									
BMU	2009	30083740952.576397	BEA_income	all_groups									
BMU	2010	29387815166.743584	BEA_income	all_groups									
BMU	2011	32721369232.674114	BEA_income	all_groups									
BMU	2012	29524660893.563236	BEA_income	all_groups									
BMU	2013	34331950921.65837	BEA_income	all_groups									
BMU	2014	35270677440.9129	BEA_income	all_groups									
BMU	2015	39450226380.24119	BEA_income	all_groups									
BMU	2016	44671309616.75172	BEA_income	all_groups									
BMU	2017	50057422030.07115	BEA_income	all_groups									
BMU	2018	45962532258.10206	BEA_income	all_groups									
BMU	2019	41091376861.43446	BEA_income	all_groups									
BMU	2020	42102540197.97221	BEA_income	all_groups									
BMU	2021		BEA_income	all_groups									
BOL	2004		BEA_income	all_groups									
BOL	2005		BEA_income	all_groups									
BOL	2006		BEA_income	all_groups									
BOL	2007		BEA_income	all_groups									
BOL	2008		BEA_income	all_groups									
BOL	2009		BEA_income	all_groups									
BOL	2010		BEA_income	all_groups									
BOL	2011		BEA_income	all_groups									
BOL	2012		BEA_income	all_groups									
BOL	2013		BEA_income	all_groups									
BOL	2014		BEA_income	all_groups									
BOL	2015		BEA_income	all_groups									
BOL	2016		BEA_income	all_groups									
BOL	2017		BEA_income	all_groups									
BOL	2018		BEA_income	all_groups									
BOL	2019		BEA_income	all_groups									
BOL	2020		BEA_income	all_groups									
BOL	2021		BEA_income	all_groups									
BRA	2004	4074459142.03228	BEA_income	all_groups									
BRA	2005	4298934877.482108	BEA_income	all_groups									
BRA	2006	7039516283.450511	BEA_income	all_groups									
BRA	2007	10837053307.759827	BEA_income	all_groups									
BRA	2008	13202213588.388954	BEA_income	all_groups									
BRA	2009	10157015226.419054	BEA_income	all_groups									
BRA	2010	13545055667.74667	BEA_income	all_groups									
BRA	2011	15091229191.85709	BEA_income	all_groups									
BRA	2012	12207204066.23453	BEA_income	all_groups									
BRA	2013	11134961520.573393	BEA_income	all_groups									
BRA	2014	6285813140.4350605	BEA_income	all_groups									
BRA	2015	3486961339.5528803	BEA_income	all_groups									
BRA	2016	2662359438.7359567	BEA_income	all_groups									
BRA	2017	5003087503.515454	BEA_income	all_groups									
BRA	2018	5356435817.057567	BEA_income	all_groups									
BRA	2019	5983617083.0269785	BEA_income	all_groups									
BRA	2020	3991779431.962069	BEA_income	all_groups									
BRA	2021		BEA_income	all_groups									
BRB	2004	767562252.5141618	BEA_income	all_groups									
BRB	2005	695834213.392071	BEA_income	all_groups									
BRB	2006	640599013.0196102	BEA_income	all_groups									
BRB	2007	1569266874.7223215	BEA_income	all_groups									
BRB	2008	1852622564.7382705	BEA_income	all_groups									
BRB	2009	235661606.18141654	BEA_income	all_groups									
BRB	2010	1718698747.1132243	BEA_income	all_groups									
BRB	2011	2029909514.2944975	BEA_income	all_groups									
BRB	2012	1663045809.923897	BEA_income	all_groups									
BRB	2013	1097841742.0320673	BEA_income	all_groups									
BRB	2014	2023660944.9377422	BEA_income	all_groups									
BRB	2015	1459212028.8600962	BEA_income	all_groups									
BRB	2016	1234746999.1837897	BEA_income	all_groups									
BRB	2017	1233414225.356463	BEA_income	all_groups									
BRB	2018	3298076394.131801	BEA_income	all_groups									
BRB	2019	3712879753.6139126	BEA_income	all_groups									
BRB	2020	4835956157.74929	BEA_income	all_groups									
BRB	2021		BEA_income	all_groups									
BRN	2004		BEA_income	all_groups									
BRN	2005		BEA_income	all_groups									
BRN	2006		BEA_income	all_groups									
BRN	2007		BEA_income	all_groups									
BRN	2008		BEA_income	all_groups									
BRN	2009		BEA_income	all_groups									
BRN	2010		BEA_income	all_groups									
BRN	2011		BEA_income	all_groups									
BRN	2012		BEA_income	all_groups									
BRN	2013		BEA_income	all_groups									
BRN	2014		BEA_income	all_groups									
BRN	2015		BEA_income	all_groups									
BRN	2016		BEA_income	all_groups									
BRN	2017		BEA_income	all_groups									
BRN	2018		BEA_income	all_groups									
BRN	2019		BEA_income	all_groups									
BRN	2020		BEA_income	all_groups									
BRN	2021		BEA_income	all_groups									
BTN	2004		BEA_income	all_groups									
BTN	2005		BEA_income	all_groups									
BTN	2006		BEA_income	all_groups									
BTN	2007		BEA_income	all_groups									
BTN	2009		BEA_income	all_groups									
BTN	2010		BEA_income	all_groups									
BTN	2011		BEA_income	all_groups									
BTN	2012		BEA_income	all_groups									
BTN	2013		BEA_income	all_groups									
BTN	2014		BEA_income	all_groups									
BTN	2015		BEA_income	all_groups									
BTN	2016		BEA_income	all_groups									
BTN	2017		BEA_income	all_groups									
BTN	2018		BEA_income	all_groups									
BTN	2019		BEA_income	all_groups									
BTN	2020		BEA_income	all_groups									
BTN	2021		BEA_income	all_groups									
BWA	2004		BEA_income	all_groups									
BWA	2005		BEA_income	all_groups									
BWA	2006		BEA_income	all_groups									
BWA	2007		BEA_income	all_groups									
BWA	2008		BEA_income	all_groups									
BWA	2009		BEA_income	all_groups									
BWA	2010		BEA_income	all_groups									
BWA	2011		BEA_income	all_groups									
BWA	2012		BEA_income	all_groups									
BWA	2013		BEA_income	all_groups									
BWA	2014		BEA_income	all_groups									
BWA	2015		BEA_income	all_groups									
BWA	2016		BEA_income	all_groups									
BWA	2017		BEA_income	all_groups									
BWA	2018		BEA_income	all_groups									
BWA	2019		BEA_income	all_groups									
BWA	2020		BEA_income	all_groups									
BWA	2021		BEA_income	all_groups									
CAF	2009		BEA_income	all_groups									
CAF	2010		BEA_income	all_groups									
CAF	2011		BEA_income	all_groups									
CAF	2012		BEA_income	all_groups									
CAF	2013		BEA_income	all_groups									
CAF	2014		BEA_income	all_groups									
CAF	2015		BEA_income	all_groups									
CAF	2016		BEA_income	all_groups									
CAF	2017		BEA_income	all_groups									
CAF	2018		BEA_income	all_groups									
CAF	2019		BEA_income	all_groups									
CAF	2020		BEA_income	all_groups									
CAF	2021		BEA_income	all_groups									
CAN	2004	32371372102.681717	BEA_income	all_groups									
CAN	2005	31915934526.37296	BEA_income	all_groups									
CAN	2006	32152210084.064693	BEA_income	all_groups									
CAN	2007	31772085846.79735	BEA_income	all_groups									
CAN	2008	41371187830.92577	BEA_income	all_groups									
CAN	2009	23167585118.99135	BEA_income	all_groups									
CAN	2010	34401449700.21123	BEA_income	all_groups									
CAN	2011	45093860756.73737	BEA_income	all_groups									
CAN	2012	41600571869.54061	BEA_income	all_groups									
CAN	2013	39502988830.65571	BEA_income	all_groups									
CAN	2014	41441981975.04953	BEA_income	all_groups									
CAN	2015	26887875072.96119	BEA_income	all_groups									
CAN	2016	23319370599.461124	BEA_income	all_groups									
CAN	2017	32034054558.223236	BEA_income	all_groups									
CAN	2018	40136986721.51971	BEA_income	all_groups									
CAN	2019	35498106455.770676	BEA_income	all_groups									
CAN	2020	27504887647.53182	BEA_income	all_groups									
CAN	2021		BEA_income	all_groups									
CHE	2004	16087940188.085033	BEA_income	all_groups									
CHE	2005	17037272156.221626	BEA_income	all_groups									
CHE	2006	15969506941.285393	BEA_income	all_groups									
CHE	2007	16399345055.96914	BEA_income	all_groups									
CHE	2008	21708079593.269253	BEA_income	all_groups									
CHE	2009	19665448727.999687	BEA_income	all_groups									
CHE	2010	21606353166.048008	BEA_income	all_groups									
CHE	2011	23306368497.45534	BEA_income	all_groups									
CHE	2012	21501533525.368572	BEA_income	all_groups									
CHE	2013	26809701948.475685	BEA_income	all_groups									
CHE	2014	25581019976.96964	BEA_income	all_groups									
CHE	2015	32373300499.098244	BEA_income	all_groups									
CHE	2016	34307598440.131413	BEA_income	all_groups									
CHE	2017	34013847756.042923	BEA_income	all_groups									
CHE	2018	26633985383.041443	BEA_income	all_groups									
CHE	2019	23709229126.632023	BEA_income	all_groups									
CHE	2020	22214851099.383533	BEA_income	all_groups									
CHE	2021		BEA_income	all_groups									
CHL	2004	1008325747.2706147	BEA_income	all_groups									
CHL	2005	1194600051.020548	BEA_income	all_groups									
